Order ID,Order Date,Ship Date,Ship Mode,Customer ID
CA-2017-152156,42958,43050,Second Class,CG-12520
CA-2017-152156,42958,43050,Second Class,CG-12520
CA-2017-138688,43075,16/06/2017,Second Class,DV-13045
US-2016-108966,42684,18/10/2016,Standard Class,SO-20335
US-2016-108966,42684,18/10/2016,Standard Class,SO-20335
CA-2015-115812,42253,14/06/2015,Standard Class,BH-11710
CA-2015-115812,42253,14/06/2015,Standard Class,BH-11710
CA-2015-115812,42253,14/06/2015,Standard Class,BH-11710
CA-2015-115812,42253,14/06/2015,Standard Class,BH-11710
CA-2015-115812,42253,14/06/2015,Standard Class,BH-11710
CA-2015-115812,42253,14/06/2015,Standard Class,BH-11710
CA-2015-115812,42253,14/06/2015,Standard Class,BH-11710
CA-2018-114412,15/04/2018,20/04/2018,Standard Class,AA-10480
CA-2017-161389,42867,43020,Standard Class,IM-15070
US-2016-118983,22/11/2016,26/11/2016,Standard Class,HP-14815
US-2016-118983,22/11/2016,26/11/2016,Standard Class,HP-14815
CA-2015-105893,42319,18/11/2015,Standard Class,PK-19075
CA-2015-167164,13/05/2015,15/05/2015,Second Class,AG-10270
CA-2015-143336,27/08/2015,42013,Second Class,ZD-21925
CA-2015-143336,27/08/2015,42013,Second Class,ZD-21925
CA-2015-143336,27/08/2015,42013,Second Class,ZD-21925
CA-2017-137330,42990,13/12/2017,Standard Class,KB-16585
CA-2017-137330,42990,13/12/2017,Standard Class,KB-16585
US-2018-156909,16/07/2018,18/07/2018,Second Class,SF-20065
CA-2016-106320,25/09/2016,30/09/2016,Standard Class,EB-13870
CA-2017-121755,16/01/2017,20/01/2017,Second Class,EH-13945
CA-2017-121755,16/01/2017,20/01/2017,Second Class,EH-13945
US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520
US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520
US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520
US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520
US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520
US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520
US-2016-150630,17/09/2016,21/09/2016,Standard Class,TB-21520
CA-2018-107727,19/10/2018,23/10/2018,Second Class,MA-17560
CA-2017-117590,42959,43020,First Class,GH-14485
CA-2017-117590,42959,43020,First Class,GH-14485
CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710
CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710
CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710
CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710
CA-2018-120999,43382,15/09/2018,Standard Class,LC-16930
CA-2017-101343,17/07/2017,22/07/2017,Standard Class,RA-19885
CA-2018-139619,19/09/2018,23/09/2018,Standard Class,ES-14080
CA-2017-118255,43042,13/03/2017,First Class,ON-18715
CA-2017-118255,43042,13/03/2017,First Class,ON-18715
CA-2015-146703,20/10/2015,25/10/2015,Second Class,PO-18865
CA-2017-169194,20/06/2017,25/06/2017,Standard Class,LH-16900
CA-2017-169194,20/06/2017,25/06/2017,Standard Class,LH-16900
CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000
CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000
CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000
CA-2016-115742,18/04/2016,22/04/2016,Standard Class,DP-13000
CA-2017-105816,43051,17/12/2017,Standard Class,JM-15265
CA-2017-105816,43051,17/12/2017,Standard Class,JM-15265
CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055
CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055
CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055
CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055
CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055
CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055
CA-2017-111682,17/06/2017,18/06/2017,First Class,TB-21055
CA-2016-135545,24/11/2016,30/11/2016,Standard Class,KM-16720
CA-2016-135545,24/11/2016,30/11/2016,Standard Class,KM-16720
CA-2016-135545,24/11/2016,30/11/2016,Standard Class,KM-16720
CA-2016-135545,24/11/2016,30/11/2016,Standard Class,KM-16720
US-2016-164175,30/04/2016,42495,Standard Class,PS-18970
CA-2015-106376,42136,42289,Standard Class,BS-11590
CA-2015-106376,42136,42289,Standard Class,BS-11590
CA-2017-119823,42831,42892,First Class,KD-16270
CA-2017-106075,18/09/2017,23/09/2017,Standard Class,HM-14980
CA-2018-114440,14/09/2018,17/09/2018,Second Class,TB-21520
US-2016-134026,26/04/2016,42405,Standard Class,JE-15745
US-2016-134026,26/04/2016,42405,Standard Class,JE-15745
US-2016-134026,26/04/2016,42405,Standard Class,JE-15745
US-2018-118038,43355,43416,First Class,KB-16600
US-2018-118038,43355,43416,First Class,KB-16600
US-2018-118038,43355,43416,First Class,KB-16600
US-2015-147606,26/11/2015,42016,Second Class,JE-15745
CA-2017-127208,43075,15/06/2017,First Class,SC-20770
CA-2017-127208,43075,15/06/2017,First Class,SC-20770
CA-2015-139451,42348,16/10/2015,Standard Class,DN-13690
CA-2015-139451,42348,16/10/2015,Standard Class,DN-13690
CA-2016-149734,42438,42591,Standard Class,JC-16105
US-2018-119662,13/11/2018,16/11/2018,First Class,CS-12400
CA-2018-140088,28/05/2018,30/05/2018,Second Class,PO-18865
CA-2018-155558,26/10/2018,43142,Standard Class,PG-18895
CA-2018-155558,26/10/2018,43142,Standard Class,PG-18895
CA-2017-159695,42859,43012,Second Class,GM-14455
CA-2017-109806,17/09/2017,22/09/2017,Standard Class,JS-15685
CA-2017-109806,17/09/2017,22/09/2017,Standard Class,JS-15685
CA-2017-109806,17/09/2017,22/09/2017,Standard Class,JS-15685
CA-2016-149587,31/01/2016,42492,Second Class,KB-16315
CA-2016-149587,31/01/2016,42492,Second Class,KB-16315
CA-2016-149587,31/01/2016,42492,Second Class,KB-16315
US-2018-109484,43262,43445,Standard Class,RB-19705
CA-2018-161018,43354,43415,Second Class,PN-18775
CA-2018-157833,17/06/2018,20/06/2018,First Class,KD-16345
CA-2017-149223,42895,43048,Standard Class,ER-13855
CA-2017-158568,29/08/2017,42775,Standard Class,RB-19465
CA-2017-158568,29/08/2017,42775,Standard Class,RB-19465
CA-2017-158568,29/08/2017,42775,Standard Class,RB-19465
CA-2017-129903,42747,42837,Second Class,GZ-14470
US-2016-156867,13/11/2016,17/11/2016,Standard Class,LC-16870
US-2016-156867,13/11/2016,17/11/2016,Standard Class,LC-16870
US-2016-156867,13/11/2016,17/11/2016,Standard Class,LC-16870
CA-2018-119004,23/11/2018,28/11/2018,Standard Class,JM-15250
CA-2018-119004,23/11/2018,28/11/2018,Standard Class,JM-15250
CA-2018-119004,23/11/2018,28/11/2018,Standard Class,JM-15250
CA-2016-129476,15/10/2016,20/10/2016,Standard Class,PA-19060
CA-2018-146780,25/12/2018,30/12/2018,Standard Class,CV-12805
CA-2017-128867,42805,43019,Standard Class,CL-12565
CA-2017-128867,42805,43019,Standard Class,CL-12565
CA-2015-115259,25/08/2015,27/08/2015,Second Class,RC-19960
CA-2015-115259,25/08/2015,27/08/2015,Second Class,RC-19960
CA-2015-115259,25/08/2015,27/08/2015,Second Class,RC-19960
CA-2015-115259,25/08/2015,27/08/2015,Second Class,RC-19960
CA-2016-110457,42403,42524,Standard Class,DK-13090
